발표시각,지역,도시,예보시각,최저기온,최고기온,최저기온하한,최저기온상한,최고기온하한,최고기온상한
2020-08-01 06시,경기남서내륙,수원,2020-08-11,24,30,23,25,29,31
2020-08-01 06시,경기남서내륙,안양,2020-08-04,25,27,,,,
2020-08-01 06시,경기남서내륙,안양,2020-08-05,24,26,,,,
2020-08-01 06시,경기남서내륙,안양,2020-08-06,25,27,,,,
2020-08-01 06시,경기남서내륙,안양,2020-08-07,25,27,,,,
2020-08-01 06시,경기남서내륙,안양,2020-08-08,24,27,,,,
2020-08-01 06시,경기남서내륙,안양,2020-08-09,24,28,,,,
2020-08-01 06시,경기남서내륙,안양,2020-08-10,24,28,,,,
2020-08-01 06시,경기남서내륙,안양,2020-08-11,25,29,,,,
2020-08-01 06시,경기남서내륙,오산,2020-08-04,25,30,,,,
2020-08-01 06시,경기남서내륙,오산,2020-08-05,24,28,,,,
2020-08-01 06시,경기남서내륙,오산,2020-08-06,24,28,,,,
2020-08-01 06시,경기남서내륙,오산,2020-08-07,24,29,,,,
2020-08-01 06시,경기남서내륙,오산,2020-08-08,23,29,,,,
2020-08-01 06시,경기남서내륙,오산,2020-08-09,24,30,,,,
2020-08-01 06시,경기남서내륙,오산,2020-08-10,24,29,,,,
2020-08-01 06시,경기남서내륙,오산,2020-08-11,25,30,,,,
2020-08-01 06시,경기남서내륙,화성,2020-08-04,25,28,,,,
2020-08-01 06시,경기남서내륙,화성,2020-08-05,24,29,,,,
2020-08-01 06시,경기남서내륙,화성,2020-08-06,24,30,,,,
2020-08-01 06시,경기남서내륙,화성,2020-08-07,24,28,,,,
2020-08-01 06시,경기남서내륙,화성,2020-08-08,23,28,,,,
2020-08-01 06시,경기남서내륙,화성,2020-08-09,23,29,,,,
2020-08-01 06시,경기남서내륙,화성,2020-08-10,24,29,,,,
2020-08-01 06시,경기남서내륙,화성,2020-08-11,24,30,,,,
2020-08-01 06시,경기남서내륙,성남,2020-08-04,25,28,,,,
2020-08-01 06시,경기남서내륙,성남,2020-08-05,24,29,,,,
2020-08-01 06시,경기남서내륙,성남,2020-08-06,25,29,,,,
2020-08-01 06시,경기남서내륙,성남,2020-08-07,24,28,,,,
2020-08-01 06시,경기남서내륙,성남,2020-08-08,23,29,,,,
2020-08-01 06시,경기남서내륙,성남,2020-08-09,24,30,,,,
2020-08-01 06시,경기남서내륙,성남,2020-08-10,24,30,,,,
2020-08-01 06시,경기남서내륙,성남,2020-08-11,25,31,,,,
2020-08-01 06시,경기남서내륙,평택,2020-08-04,24,31,23,25,29,33
2020-08-01 06시,경기남서내륙,평택,2020-08-05,24,31,23,25,29,33
2020-08-01 06시,경기남서내륙,평택,2020-08-06,24,30,23,25,28,32
2020-08-01 06시,경기남서내륙,평택,2020-08-07,24,31,23,25,29,33
2020-08-01 06시,경기남서내륙,평택,2020-08-08,24,31,22,26,30,33
2020-08-01 06시,경기남서내륙,평택,2020-08-09,24,31,22,26,29,33
2020-08-01 06시,경기남서내륙,평택,2020-08-10,25,31,23,27,29,33
2020-08-01 06시,경기남서내륙,평택,2020-08-11,25,32,24,26,31,33
2020-08-01 06시,경기남서내륙,의왕,2020-08-04,24,28,,,,
2020-08-01 06시,경기남서내륙,의왕,2020-08-05,23,25,,,,
2020-08-01 06시,경기남서내륙,의왕,2020-08-06,23,27,,,,
2020-08-01 06시,경기남서내륙,의왕,2020-08-07,23,27,,,,
2020-08-01 06시,경기남서내륙,의왕,2020-08-08,22,27,,,,
2020-08-01 06시,경기남서내륙,의왕,2020-08-09,22,27,,,,
2020-08-01 06시,경기남서내륙,의왕,2020-08-10,23,28,,,,
2020-08-01 06시,경기남서내륙,의왕,2020-08-11,24,29,,,,
2020-08-01 06시,경기남서내륙,군포,2020-08-04,24,29,,,,
2020-08-01 06시,경기남서내륙,군포,2020-08-05,24,27,,,,
2020-08-01 06시,경기남서내륙,군포,2020-08-06,24,28,,,,
2020-08-01 06시,경기남서내륙,군포,2020-08-07,24,27,,,,
2020-08-01 06시,경기남서내륙,군포,2020-08-08,23,28,,,,
2020-08-01 06시,경기남서내륙,군포,2020-08-09,23,29,,,,
2020-08-01 06시,경기남서내륙,군포,2020-08-10,23,28,,,,
2020-08-01 06시,경기남서내륙,군포,2020-08-11,24,30,,,,
2020-08-01 06시,경기남서내륙,안성,2020-08-04,24,30,,,,
2020-08-01 06시,경기남서내륙,안성,2020-08-05,24,31,,,,
2020-08-01 06시,경기남서내륙,안성,2020-08-06,25,29,,,,
2020-08-01 06시,경기남서내륙,안성,2020-08-07,24,28,,,,
2020-08-01 06시,경기남서내륙,안성,2020-08-08,23,29,,,,
2020-08-01 06시,경기남서내륙,안성,2020-08-09,23,30,,,,
2020-08-01 06시,경기남서내륙,안성,2020-08-10,24,31,,,,
2020-08-01 06시,경기남서내륙,안성,2020-08-11,25,32,,,,
2020-08-01 06시,경기남서내륙,용인,2020-08-04,24,27,,,,
2020-08-01 06시,경기남서내륙,용인,2020-08-05,23,29,,,,
2020-08-01 06시,경기남서내륙,용인,2020-08-06,24,27,,,,
2020-08-01 06시,경기남서내륙,용인,2020-08-07,23,28,,,,
2020-08-01 06시,경기남서내륙,용인,2020-08-08,23,28,,,,
2020-08-01 06시,경기남서내륙,용인,2020-08-09,22,29,,,,
2020-08-01 06시,경기남서내륙,용인,2020-08-10,23,29,,,,
2020-08-01 06시,경기남서내륙,용인,2020-08-11,24,32,,,,
2020-08-01 06시,경기남동내륙,이천,2020-08-04,23,30,22,24,29,31
2020-08-01 06시,경기남동내륙,이천,2020-08-05,23,30,22,24,29,31
2020-08-01 06시,경기남동내륙,이천,2020-08-06,23,29,22,24,27,31
2020-08-01 06시,경기남동내륙,이천,2020-08-07,23,29,22,24,27,31
2020-08-01 06시,경기남동내륙,이천,2020-08-08,23,29,22,24,27,30
2020-08-01 06시,경기남동내륙,이천,2020-08-09,24,28,22,26,26,30
2020-08-01 06시,경기남동내륙,이천,2020-08-10,23,29,21,25,27,31
2020-08-01 06시,경기남동내륙,이천,2020-08-11,23,30,22,24,29,31
2020-08-01 06시,경기남동내륙,광주,2020-08-04,24,27,,,,
2020-08-01 06시,경기남동내륙,광주,2020-08-05,23,28,,,,
2020-08-01 06시,경기남동내륙,광주,2020-08-06,23,27,,,,
2020-08-01 06시,경기남동내륙,광주,2020-08-07,23,27,,,,
2020-08-01 06시,경기남동내륙,광주,2020-08-08,22,28,,,,
2020-08-01 06시,경기남동내륙,광주,2020-08-09,22,29,,,,
2020-08-01 06시,경기남동내륙,광주,2020-08-10,23,29,,,,
2020-08-01 06시,경기남동내륙,광주,2020-08-11,24,30,,,,
2020-08-01 06시,경기남동내륙,여주,2020-08-04,24,29,,,,
2020-08-01 06시,경기남동내륙,여주,2020-08-05,23,29,,,,
2020-08-01 06시,경기남동내륙,여주,2020-08-06,23,27,,,,
2020-08-01 06시,경기남동내륙,여주,2020-08-07,23,27,,,,
2020-08-01 06시,경기남동내륙,여주,2020-08-08,22,28,,,,
2020-08-01 06시,경기남동내륙,여주,2020-08-09,22,29,,,,
2020-08-01 06시,경기남동내륙,여주,2020-08-10,23,29,,,,
2020-08-01 06시,경기남동내륙,여주,2020-08-11,24,30,,,,
2020-08-01 06시,충북북서내륙,충주,2020-08-04,24,30,23,25,29,31
2020-08-01 06시,충북북서내륙,충주,2020-08-05,24,29,24,24,28,30
2020-08-01 06시,충북북서내륙,충주,2020-08-06,24,29,24,25,28,30
2020-08-01 06시,충북북서내륙,충주,2020-08-07,24,28,24,25,27,29
2020-08-01 06시,충북북서내륙,충주,2020-08-08,23,29,22,24,28,30
2020-08-01 06시,충북북서내륙,충주,2020-08-09,23,29,22,24,28,31
2020-08-01 06시,충북북서내륙,충주,2020-08-10,24,30,23,24,29,31
2020-08-01 06시,충북북서내륙,충주,2020-08-11,24,31,23,24,29,32
2020-08-01 06시,충북북서내륙,진천,2020-08-04,24,29,,,,
2020-08-01 06시,충북북서내륙,진천,2020-08-05,24,29,,,,
2020-08-01 06시,충북북서내륙,진천,2020-08-06,24,28,,,,
2020-08-01 06시,충북북서내륙,진천,2020-08-07,24,27,,,,
2020-08-01 06시,충북북서내륙,진천,2020-08-08,23,29,,,,
2020-08-01 06시,충북북서내륙,진천,2020-08-09,23,29,,,,
2020-08-01 06시,충북북서내륙,진천,2020-08-10,24,30,,,,
2020-08-01 06시,충북북서내륙,진천,2020-08-11,24,31,,,,
2020-08-01 06시,충북북서내륙,음성,2020-08-04,23,28,,,,
2020-08-01 06시,충북북서내륙,음성,2020-08-05,23,28,,,,
2020-08-01 06시,충북북서내륙,음성,2020-08-06,23,28,,,,
2020-08-01 06시,충북북서내륙,음성,2020-08-07,23,27,,,,
2020-08-01 06시,충북북서내륙,음성,2020-08-08,23,28,,,,
2020-08-01 06시,충북북서내륙,음성,2020-08-09,22,28,,,,
2020-08-01 06시,충북북서내륙,음성,2020-08-10,23,29,,,,
2020-08-01 06시,충북북서내륙,음성,2020-08-11,23,31,,,,
2020-08-01 06시,충북북동내륙,제천,2020-08-04,24,28,,,,
2020-08-01 06시,충북북동내륙,제천,2020-08-05,23,28,,,,
2020-08-01 06시,충북북동내륙,제천,2020-08-06,23,28,,,,
2020-08-01 06시,충북북동내륙,제천,2020-08-07,23,27,,,,
2020-08-01 06시,충북북동내륙,제천,2020-08-08,23,28,,,,
2020-08-01 06시,충북북동내륙,제천,2020-08-09,22,28,,,,
2020-08-01 06시,충북북동내륙,제천,2020-08-10,23,29,,,,
2020-08-01 06시,충북북동내륙,제천,2020-08-11,23,30,,,,
2020-08-01 06시,충북북동내륙,단양,2020-08-04,24,30,,,,
2020-08-01 06시,충북북동내륙,단양,2020-08-05,23,29,,,,
2020-08-01 06시,충북북동내륙,단양,2020-08-06,24,29,,,,
2020-08-01 06시,충북북동내륙,단양,2020-08-07,23,29,,,,
2020-08-01 06시,충북북동내륙,단양,2020-08-08,23,29,,,,
2020-08-01 06시,충북북동내륙,단양,2020-08-09,22,29,,,,
2020-08-01 06시,충북북동내륙,단양,2020-08-10,23,31,,,,
2020-08-01 06시,충북북동내륙,단양,2020-08-11,24,31,,,,
2020-08-01 06시,충북중부내륙,청주,2020-08-04,25,30,25,26,29,31
2020-08-01 06시,충북중부내륙,청주,2020-08-05,25,30,25,26,29,31
2020-08-01 06시,충북중부내륙,청주,2020-08-06,25,29,25,26,28,31
2020-08-01 06시,충북중부내륙,청주,2020-08-07,25,29,25,26,28,30
2020-08-01 06시,충북중부내륙,청주,2020-08-08,24,29,23,25,28,30
2020-08-01 06시,충북중부내륙,청주,2020-08-09,24,29,23,24,28,31
2020-08-01 06시,충북중부내륙,청주,2020-08-10,25,30,24,26,29,31
2020-08-01 06시,충북중부내륙,청주,2020-08-11,25,31,24,26,29,32
2020-08-01 06시,충북중부내륙,보은,2020-08-04,23,29,,,,
2020-08-01 06시,충북중부내륙,보은,2020-08-05,23,29,,,,
2020-08-01 06시,충북중부내륙,보은,2020-08-06,23,28,,,,
2020-08-01 06시,충북중부내륙,보은,2020-08-07,23,28,,,,
2020-08-01 06시,충북중부내륙,보은,2020-08-08,23,28,,,,
2020-08-01 06시,충북중부내륙,보은,2020-08-09,22,28,,,,
2020-08-01 06시,충북중부내륙,보은,2020-08-10,23,29,,,,
2020-08-01 06시,충북중부내륙,보은,2020-08-11,23,30,,,,
2020-08-01 06시,충북중부내륙,괴산,2020-08-04,25,30,,,,
2020-08-01 06시,충북중부내륙,괴산,2020-08-05,24,30,,,,
2020-08-01 06시,충북중부내륙,괴산,2020-08-06,24,29,,,,
2020-08-01 06시,충북중부내륙,괴산,2020-08-07,24,29,,,,
2020-08-01 06시,충북중부내륙,괴산,2020-08-08,24,30,,,,
2020-08-01 06시,충북중부내륙,괴산,2020-08-09,23,30,,,,
2020-08-01 06시,충북중부내륙,괴산,2020-08-10,25,31,,,,
2020-08-01 06시,충북중부내륙,괴산,2020-08-11,24,32,,,,
2020-08-01 06시,충북중부내륙,증평,2020-08-04,24,30,,,,
2020-08-01 06시,충북중부내륙,증평,2020-08-05,24,29,,,,
2020-08-01 06시,충북중부내륙,증평,2020-08-06,24,28,,,,
2020-08-01 06시,충북중부내륙,증평,2020-08-07,24,28,,,,
2020-08-01 06시,충북중부내륙,증평,2020-08-08,24,29,,,,
2020-08-01 06시,충북중부내륙,증평,2020-08-09,23,29,,,,
2020-08-01 06시,충북중부내륙,증평,2020-08-10,24,30,,,,
2020-08-01 06시,충북중부내륙,증평,2020-08-11,24,32,,,,
2020-08-01 06시,충북남부내륙,추풍령,2020-08-04,22,29,,,,
2020-08-01 06시,충북남부내륙,추풍령,2020-08-05,23,29,,,,
2020-08-01 06시,충북남부내륙,추풍령,2020-08-06,23,28,,,,
2020-08-01 06시,충북남부내륙,추풍령,2020-08-07,22,27,,,,
2020-08-01 06시,충북남부내륙,추풍령,2020-08-08,22,28,,,,
2020-08-01 06시,충북남부내륙,추풍령,2020-08-09,22,28,,,,
2020-08-01 06시,충북남부내륙,추풍령,2020-08-10,22,29,,,,
2020-08-01 06시,충북남부내륙,추풍령,2020-08-11,22,30,,,,
2020-08-01 06시,충북남부내륙,영동,2020-08-04,24,31,23,25,30,32
2020-08-01 06시,충북남부내륙,영동,2020-08-05,24,31,23,25,30,32
2020-08-01 06시,충북남부내륙,영동,2020-08-06,24,30,23,24,29,31
2020-08-01 06시,충북남부내륙,영동,2020-08-07,24,29,23,24,28,31
2020-08-01 06시,충북남부내륙,영동,2020-08-08,23,30,22,23,28,31
2020-08-01 06시,충북남부내륙,영동,2020-08-09,23,30,21,24,28,31
2020-08-01 06시,충북남부내륙,영동,2020-08-10,24,32,23,25,30,34
2020-08-01 06시,충북남부내륙,영동,2020-08-11,24,33,23,25,31,34
2020-08-01 06시,충북남부내륙,옥천,2020-08-04,24,30,,,,
2020-08-01 06시,충북남부내륙,옥천,2020-08-05,24,30,,,,
2020-08-01 06시,충북남부내륙,옥천,2020-08-06,24,29,,,,
2020-08-01 06시,충북남부내륙,옥천,2020-08-07,24,28,,,,
2020-08-01 06시,충북남부내륙,옥천,2020-08-08,24,29,,,,
2020-08-01 06시,충북남부내륙,옥천,2020-08-09,23,29,,,,
2020-08-01 06시,충북남부내륙,옥천,2020-08-10,24,30,,,,
